game_id,pot_size,num_players,has_flop,has_turn,has_river,has_raise,has_all_in,did_show,is_bluff,winner
787016615,1.0,6,0,0,0,0,0,0,0,WeakAndWeary
787016611,2.0,9,0,0,0,1,0,0,1,pineapplesand
787016571,2.5,8,0,0,0,1,0,0,1,AironVega
787016535,4.0,9,0,0,0,1,0,0,1,pineapplesand
787016528,20.9,5,1,1,1,1,0,1,0,trader063
787016531,33.33,6,1,0,0,1,0,0,1,AironVega
787016474,1.25,7,0,0,0,1,0,0,1,Spagetti1
787016281,2.5,6,0,0,0,1,0,0,1,ali23imsirovic
787016225,2.5,8,0,0,0,1,0,0,1,VegetablesArentYummy
787016095,1.25,5,0,0,0,1,0,0,1,IlxxxlI
787015960,161.1,5,1,1,1,1,0,1,0,IlxxxlI
787015947,6.18,9,1,0,0,1,0,0,1,PANDAisEVIL
787015845,5.3,8,0,0,0,1,0,0,1,ElvenEyes
787015684,5.0,5,0,0,0,1,0,0,1,PANDAisEVIL
787015511,9.5,5,1,0,0,1,0,0,1,PANDAisEVIL
787015493,11.88,5,1,1,1,1,0,0,1,jjeannin1
787015496,40.91,9,1,1,1,1,0,0,1,thimk
787015397,21.85,8,1,0,0,1,0,0,1,StephCurry
787015365,151.28,5,1,1,1,1,0,1,0,IlxxxlI
787015266,4.66,9,1,0,0,1,0,0,1,PANDAisEVIL
787015247,5.0,9,0,0,0,1,0,0,1,hotshothotgg
787015234,2.5,8,0,0,0,1,0,0,1,AironVega
787015077,3.09,5,1,1,0,1,0,0,1,Parcker
787015036,5.0,9,0,0,0,1,0,0,1,IlxxxlI
787014855,63.22,5,1,1,1,1,0,1,0,AironVega
787014851,5.0,9,0,0,0,1,0,0,1,aleks0v
787014799,24.72,5,1,1,0,1,0,0,1,IlxxxlI
787014700,4.5,8,0,0,0,1,0,0,1,IlxxxlI
787014561,13.81,5,1,1,1,1,0,1,0,cuervo_
787014536,2.5,8,0,0,0,1,0,0,1,IlxxxlI
787014510,9.5,2,1,0,0,1,0,0,1,IlxxxlI
787014455,2.0,2,0,0,0,0,0,0,0,IlxxxlI
787014265,10.45,5,1,1,0,1,0,0,1,VegetablesArentYummy
787014255,2.5,8,0,0,0,1,0,0,1,IlxxxlI
787014130,2.38,5,1,0,0,1,0,0,1,jjeannin1
